City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sovetskiy,61.36,63.58,33.76,97,79,7.29,RU,1604162076
Upernavik,72.79,-56.15,16.18,95,67,11.9,GL,1604162076
Unity,52.45,-109.17,28.04,89,44,15.37,CA,1604161803
Yulara,-25.24,130.99,71.6,21,68,8.05,AU,1604162076
Orsha,54.52,30.41,46.4,100,90,8.95,BY,1604162076
Harrogate,53.99,-1.54,53.6,66,40,23.04,GB,1604162076
Bluff,-46.6,168.33,46.0,88,37,5.01,NZ,1604162076
Taguatinga,-12.39,-46.57,74.62,86,100,2.73,BR,1604162076
George Town,5.41,100.34,82.4,88,40,11.41,MY,1604162048
Broome,42.25,-75.83,42.01,70,0,5.01,US,1604162077
Hilo,19.73,-155.09,73.4,73,40,6.93,US,1604161994
Chapais,49.78,-74.85,26.6,63,1,11.41,CA,1604161960
New Norfolk,-42.78,147.06,52.0,69,55,1.97,AU,1604162077
Amahai,-3.33,128.92,82.99,83,72,1.01,ID,1604162077
Port Alfred,-33.59,26.89,65.26,74,85,15.32,ZA,1604162077
Port Elizabeth,-33.92,25.57,66.2,72,75,5.82,ZA,1604162077
Isla Vista,34.41,-119.86,57.2,71,1,2.28,US,1604162078
Presidencia Roque Sáenz Peña,-26.79,-60.44,82.99,23,0,1.99,AR,1604162078
Nizwá,22.93,57.53,67.82,27,4,2.04,OM,1604162078
Cherskiy,68.75,161.3,7.68,88,94,3.58,RU,1604162078
The Pas,53.83,-101.25,19.4,85,90,25.28,CA,1604162078
Ilhabela,-23.78,-45.36,68.29,85,100,6.4,BR,1604162078
Hurricane,37.18,-113.29,50.0,31,1,3.36,US,1604162078
Ostrovnoy,68.05,39.51,26.8,95,12,12.44,RU,1604162079
Caravelas,-17.71,-39.25,76.33,86,100,2.68,BR,1604162079
Nanortalik,60.14,-45.24,29.28,90,9,16.89,GL,1604162079
Butaritari,3.07,172.79,81.23,75,64,16.93,KI,1604162079
Sola,-13.88,167.55,80.8,82,41,20.78,VU,1604162079
Buin,-33.73,-70.75,84.0,26,0,3.36,CL,1604162079
Avarua,-21.21,-159.78,71.6,88,100,11.41,CK,1604161990
Homer,59.64,-151.55,25.0,53,1,5.82,US,1604162079
Faanui,-16.48,-151.75,78.48,76,33,19.19,PF,1604162080
Chaves,33.38,-104.45,48.2,66,1,1.66,US,1604162080
Marzuq,14.4,46.47,68.4,38,0,2.89,YE,1604162080
Dŭstí,37.35,68.66,51.8,50,0,4.47,TJ,1604162080
Viļāni,56.55,26.92,47.77,90,100,7.65,LV,1604162080
Provideniya,64.38,-173.3,21.24,87,94,6.35,RU,1604162080
Lobva,59.19,60.52,35.69,88,100,6.51,RU,1604162081
Bilibino,68.05,166.44,-1.39,85,21,2.26,RU,1604162081
Leningradskiy,69.38,178.42,18.95,93,94,10.42,RU,1604162081
Mezen',65.85,44.24,31.19,97,60,6.62,RU,1604162081
Mitsamiouli,-11.38,43.28,78.12,79,100,7.94,KM,1604162081
Monforte de Lemos,42.52,-7.51,61.0,74,100,3.67,ES,1604162081
Yerofey Pavlovich,53.97,121.97,23.31,86,100,6.31,RU,1604162081
Hithadhoo,-0.6,73.08,83.93,70,95,7.61,MV,1604162082
Verkhnetulomskiy,68.61,31.8,23.0,85,0,6.71,RU,1604162082
São Gabriel da Cachoeira,-0.13,-67.09,86.0,74,75,3.36,BR,1604162082
Chui,-33.7,-53.46,65.23,60,43,8.77,UY,1604162082
Carnarvon,-24.87,113.63,68.0,88,91,4.7,AU,1604162082
Melbourne,28.08,-80.61,82.99,65,1,13.87,US,1604161828
Anloga,5.79,0.9,86.0,70,20,11.41,GH,1604162082
Cape Town,-33.93,18.42,68.0,52,0,20.8,ZA,1604161931
Barrow,71.29,-156.79,24.8,62,90,9.17,US,1604161920
Ubari,26.59,12.78,65.17,44,0,6.2,LY,1604162083
Albany,42.6,-73.97,39.99,78,0,1.99,US,1604161801
Lalibela,12.03,39.03,60.66,54,67,9.22,ET,1604162083
Goma,-1.68,29.22,66.13,78,74,3.49,CD,1604162083
Vardø,70.37,31.11,35.67,85,70,24.38,NO,1604162083
Fortuna,40.6,-124.16,46.4,93,1,6.93,US,1604162083
Kupang,-10.17,123.58,80.51,75,81,2.68,ID,1604162084
Balkhash,46.84,74.98,40.46,67,0,5.37,KZ,1604162084
Kaitangata,-46.28,169.85,45.0,79,2,4.0,NZ,1604162084
Bengkulu,-3.8,102.27,77.04,86,100,3.22,ID,1604162084
Moose Factory,51.26,-80.61,30.2,68,75,10.29,CA,1604162084
Tasiilaq,65.61,-37.64,33.8,96,90,1.12,GL,1604162084
Nueva Armenia,15.8,-86.5,86.0,74,40,6.93,HN,1604162085
Lorengau,-2.02,147.27,80.83,76,15,4.92,PG,1604162085
Pevek,69.7,170.31,12.52,96,100,9.98,RU,1604162085
Rūdbār,30.15,62.6,52.27,36,0,3.09,AF,1604161821
Turangi,-39.0,175.93,57.0,96,95,6.71,NZ,1604162085
Ilulissat,69.22,-51.1,17.6,67,75,8.05,GL,1604162085
Zhigansk,66.77,123.37,-9.33,89,85,1.05,RU,1604162085
Udachny,66.42,112.4,1.4,91,0,2.24,RU,1604162086
Manoel Urbano,-8.84,-69.26,68.18,97,100,3.6,BR,1604162086
Tautira,-17.73,-149.15,73.4,83,20,2.24,PF,1604162086
Yumbing,9.24,124.66,81.9,79,100,11.36,PH,1604162086
Wanning,18.8,110.4,73.33,85,27,8.7,CN,1604162086
Mar del Plata,-38.0,-57.56,71.6,37,0,8.05,AR,1604162086
San Patricio,28.02,-97.52,73.0,53,20,8.05,US,1604162086
Yeppoon,-23.13,150.73,71.6,88,75,1.12,AU,1604162087
Waterfoot,53.69,-2.25,50.0,83,99,5.01,GB,1604162087
Occhiobello,44.92,11.58,57.2,93,90,0.89,IT,1604161937
Nouadhibou,20.93,-17.03,73.4,73,21,17.22,MR,1604162087
Saldanha,-33.01,17.94,75.2,36,0,17.22,ZA,1604162087
Adeje,28.12,-16.73,87.01,37,0,19.46,ES,1604162087
Ribeira Grande,38.52,-28.7,69.8,94,75,17.22,PT,1604162087
Airai,-8.93,125.41,60.84,84,12,1.41,TL,1604162087
Itarema,-2.92,-39.92,87.82,57,97,17.63,BR,1604162088
Gamba,-2.65,10.0,78.1,86,99,7.23,GA,1604162088
Jalu,29.03,21.55,66.88,48,0,4.47,LY,1604162088
Revelstoke,50.98,-118.2,32.0,66,90,1.05,CA,1604162088
Dhidhdhoo,6.88,73.1,83.64,68,98,6.53,MV,1604162088
Pangnirtung,66.15,-65.71,19.4,52,75,4.7,CA,1604162088
Rocha,-34.48,-54.33,65.28,58,1,9.78,UY,1604162088
Kalambaka,39.7,21.63,52.0,69,0,2.77,GR,1604162089
Kapaa,22.08,-159.32,69.8,88,1,6.93,US,1604162089
Beeville,28.4,-97.75,68.0,71,0,3.0,US,1604162089
Nantucket,41.28,-70.1,48.2,45,1,8.05,US,1604162071
Karasburg,-28.02,18.75,81.73,16,0,13.76,NA,1604162089
Luanda,-8.84,13.23,82.4,74,20,10.29,AO,1604161912
Thinadhoo,0.53,72.93,83.23,75,60,9.55,MV,1604162089
Tagusao,9.19,117.81,79.29,80,99,4.16,PH,1604162089
Luleå,65.58,22.15,37.4,100,90,2.24,SE,1604161851
Arraial do Cabo,-22.97,-42.03,69.8,94,90,13.87,BR,1604162090
Longyearbyen,78.22,15.64,21.2,79,75,5.82,SJ,1604162090
Lebu,-37.62,-73.65,61.2,63,9,10.33,CL,1604162090
Isangel,-19.55,169.27,75.0,81,71,16.06,VU,1604162090
Cidreira,-30.18,-50.21,67.26,62,92,10.67,BR,1604162090
Deputatsky,69.3,139.9,-7.94,91,98,4.85,RU,1604162090
Alofi,-19.06,-169.92,73.4,94,85,11.41,NU,1604162090
East London,-33.02,27.91,66.2,63,20,9.17,ZA,1604162090
Husavik,66.04,-17.34,41.0,71,0,10.29,IS,1604162091
Resistencia,-27.46,-58.98,82.4,28,0,16.11,AR,1604162011
Dicabisagan,17.08,122.42,76.23,83,100,14.2,PH,1604162091
Salalah,17.02,54.09,80.6,28,0,5.82,OM,1604161941
Marrakesh,31.63,-8.01,87.8,16,20,6.93,MA,1604161877
Sangar,63.92,127.47,-14.37,89,14,3.11,RU,1604161987
Acapulco de Juárez,16.86,-99.89,82.4,69,40,3.36,MX,1604161893
Port Hardy,50.7,-127.42,46.4,93,75,4.7,CA,1604162091
Little Current,45.98,-81.92,39.2,64,31,17.22,CA,1604162091
Penzance,50.12,-5.54,53.6,71,20,17.22,GB,1604162091
Biaora,23.87,76.92,67.82,25,0,4.14,IN,1604162092
Castro,-24.79,-50.01,61.84,75,99,6.24,BR,1604162092
Maţāy,28.42,30.78,76.51,49,18,10.18,EG,1604162092
Korla,41.76,86.15,39.0,66,1,5.01,CN,1604162092
Moussoro,13.64,16.49,90.32,15,0,10.69,TD,1604162093
Palmer,42.16,-72.33,36.0,74,1,0.27,US,1604161937
El Salvador,13.83,-88.92,86.0,69,20,9.17,SV,1604162093
Hamilton,39.18,-84.53,52.0,57,1,10.29,US,1604162017
Shubarshi,48.59,57.19,48.34,44,90,12.46,KZ,1604162093
Vaini,-21.2,-175.2,71.6,88,75,10.29,TO,1604162093
Liverpool,53.41,-2.98,53.6,71,40,16.11,GB,1604162093
Severo-Kuril'sk,50.68,156.12,42.13,76,100,25.39,RU,1604162093
Sandnessjøen,66.02,12.63,46.4,70,63,10.29,NO,1604162094
Øksfjord,70.24,22.35,37.4,80,100,16.11,NO,1604162094
Katsuura,35.13,140.3,53.6,71,0,9.17,JP,1604162094
Cabo San Lucas,22.89,-109.91,79.0,74,20,3.36,MX,1604162094
Adrar,20.5,-10.07,92.28,11,98,10.67,MR,1604162094
Ningbo,29.88,121.55,64.0,93,0,2.24,CN,1604162094
Adelaide,-34.93,138.6,50.0,87,20,6.93,AU,1604161992
Seymchan,62.88,152.43,11.48,93,100,5.66,RU,1604162094
Shimoda,34.67,138.95,56.88,62,0,8.23,JP,1604162094
Yar-Sale,66.83,70.83,27.18,96,89,13.09,RU,1604161986
Santa Cruz de Barahona,18.21,-71.1,86.0,74,75,6.93,DO,1604161803
Esperance,-33.87,121.9,73.4,31,100,10.29,AU,1604162095
Socorro,31.65,-106.3,60.01,50,90,4.7,US,1604162095
Lālmohan,22.34,90.74,79.84,84,100,10.76,BD,1604162095
Mehamn,71.04,27.85,31.93,95,88,11.81,NO,1604162095
Bozeman,45.68,-111.04,44.01,59,1,3.36,US,1604162095
Klaksvík,62.23,-6.59,50.0,100,100,26.4,FO,1604162095
Shenjiamen,29.96,122.3,65.28,79,6,4.92,CN,1604162096
Kailua,21.4,-157.74,73.4,88,1,3.36,US,1604162096
Saint-Joseph,-21.37,55.62,69.8,60,20,3.36,RE,1604162096
Imbituba,-28.24,-48.67,69.8,60,75,8.05,BR,1604162096
Beloha,-25.17,45.05,69.44,70,0,12.55,MG,1604162096
Lompoc,34.64,-120.46,53.6,81,1,4.7,US,1604161893
Hvide Sande,56.0,8.13,55.0,74,80,3.0,DK,1604162096
Horsham,51.06,-0.33,55.4,82,20,12.75,GB,1604161820
Ahipara,-35.17,173.17,62.33,95,38,4.81,NZ,1604162096
Erenhot,43.65,111.98,32.74,70,0,11.99,CN,1604162097
Kidal,18.44,1.41,89.08,12,8,12.1,ML,1604162097
Norman Wells,65.28,-126.83,-4.0,83,20,4.7,CA,1604162097
Olsberg,51.35,8.5,55.4,66,0,9.17,DE,1604162097
Pemangkat,1.17,108.97,79.2,82,100,3.65,ID,1604162097
Kulhudhuffushi,6.62,73.07,83.8,68,99,5.7,MV,1604162097
Lockport,41.59,-88.06,52.0,53,1,11.41,US,1604162097
Ponta do Sol,32.67,-17.1,77.0,83,20,9.17,PT,1604162098
Joshīmath,30.57,79.57,50.77,40,1,4.03,IN,1604162098
Svetlaya,46.54,138.33,41.05,69,100,3.47,RU,1604162098
Dalby,-27.18,151.27,57.99,56,0,2.57,AU,1604162098
Sayyan,15.17,44.32,56.77,35,14,7.16,YE,1604162098
College,64.86,-147.8,9.0,84,90,2.19,US,1604161843
La Ronge,55.1,-105.28,19.4,85,99,10.29,CA,1604162098
Mossamedes,-15.2,12.15,73.24,78,17,9.73,AO,1604162098
Killybegs,54.63,-8.45,50.0,71,75,19.46,IE,1604162099
General Delgado,-27.17,-56.52,80.6,47,20,3.36,PY,1604162099
Villa Florida,-26.38,-57.15,82.8,38,0,8.77,PY,1604162099
Broken Hill,-31.95,141.43,53.6,81,0,5.82,AU,1604162099
Lavrentiya,65.58,-171.0,19.49,92,34,8.1,RU,1604162099
Christchurch,-43.53,172.63,50.0,93,91,5.82,NZ,1604162004
Yangi Marg`ilon,40.43,71.72,42.8,45,0,6.93,UZ,1604162099
Talnakh,69.49,88.4,19.4,85,90,38.03,RU,1604161986
Constantine,36.37,6.61,71.6,35,0,8.05,DZ,1604161978
Tubmanburg,6.87,-10.82,80.11,85,98,6.55,LR,1604162099
Bambous Virieux,-20.34,57.76,69.8,77,40,14.99,MU,1604162100
Ballina,-28.87,153.57,64.4,82,0,6.93,AU,1604162100
São José da Coroa Grande,-8.9,-35.15,82.72,69,91,10.8,BR,1604162100
Teahupoo,-17.83,-149.27,73.4,83,20,2.24,PF,1604162100
Saint-Philippe,-21.36,55.77,69.8,60,20,3.36,RE,1604162100
Samoylovka,51.18,43.71,49.08,84,100,10.29,RU,1604162100
Kirensk,57.79,108.11,14.29,94,85,5.68,RU,1604161986
Muisne,0.6,-80.03,84.2,79,20,8.05,EC,1604162100
Groton,41.35,-72.08,44.01,48,1,5.82,US,1604162101
Pisco,-13.7,-76.22,68.0,77,84,11.41,PE,1604162101
Sisimiut,66.94,-53.67,21.6,91,95,6.76,GL,1604162101
Anchorage,61.22,-149.9,15.8,71,1,3.36,US,1604161994
Székkutas,46.5,20.53,48.99,96,54,8.88,HU,1604162102
Fray Bentos,-33.13,-58.3,70.0,52,1,5.99,UY,1604162102
Ancud,-41.87,-73.82,66.99,55,0,6.93,CL,1604162102
Alta Floresta,-9.88,-56.09,84.2,74,75,2.24,BR,1604162102
Tupik,54.43,119.93,16.2,94,99,6.08,RU,1604161869
Snåase,64.25,12.38,38.44,78,80,7.25,NO,1604162102
Kavieng,-2.57,150.8,83.14,74,77,9.22,PG,1604162102
Tahe,52.33,124.73,25.66,97,100,8.79,CN,1604162102
Mossendjo,-2.95,12.73,74.12,93,90,2.17,CG,1604162103
Sibolga,1.74,98.78,78.35,81,100,2.24,ID,1604162103
Lagoa,39.05,-27.98,68.65,92,81,25.88,PT,1604162103
Arman',59.7,150.17,31.96,98,100,4.25,RU,1604162103
Guerrero Negro,27.98,-114.06,74.59,41,23,2.93,MX,1604162103
Dikson,73.51,80.55,16.7,97,100,15.41,RU,1604161985
Flin Flon,54.77,-101.86,17.6,85,90,19.46,CA,1604161803
Mackay,-21.15,149.2,71.6,88,30,5.82,AU,1604161858
Coquimbo,-29.95,-71.34,55.4,82,90,8.05,CL,1604162103
Saint Paul Harbor,57.79,-152.41,32.0,89,1,12.75,US,1604162103
Las Vegas,36.17,-115.14,68.0,17,1,1.61,US,1604161832
Laguna,38.42,-121.42,55.0,66,1,3.56,US,1604161886
High Level,58.52,-117.14,17.6,100,20,4.7,CA,1604162104
Mâncio Lima,-7.61,-72.9,73.4,100,90,6.93,BR,1604162104
Alberton,46.82,-64.07,37.4,74,25,18.34,CA,1604162104
Mbanza-Ngungu,-5.25,14.87,76.08,83,76,3.06,CD,1604162104
Darhan,49.49,105.92,28.47,82,54,6.26,MN,1604162104
Halkirk,52.28,-112.15,30.2,100,0,9.17,CA,1604162104
Calamar,10.25,-74.91,86.0,74,40,8.05,CO,1604162105
Benicarló,40.42,0.43,69.01,61,0,1.99,ES,1604162105
Gurupá,-1.41,-51.64,97.59,30,59,6.53,BR,1604162105
Chumikan,54.72,135.31,33.13,96,100,23.69,RU,1604162105
Birmitrapur,22.4,84.77,71.82,65,0,5.88,IN,1604162105
Bousso,10.48,16.71,90.34,32,47,1.7,TD,1604162105
Champerico,14.3,-91.92,86.0,58,0,4.7,GT,1604162105
Rabo de Peixe,37.8,-25.58,69.8,94,75,14.99,PT,1604162105
Mandera,3.94,41.87,87.13,50,70,6.71,KE,1604162105
Giyani,-23.3,30.72,75.22,56,91,14.18,ZA,1604162105
Poum,-20.23,164.02,77.25,81,69,22.95,NC,1604162106
Marsh Harbour,26.54,-77.06,80.06,82,15,18.23,BS,1604162106
Bandarbeyla,9.49,50.81,77.94,80,55,13.09,SO,1604162106
Sobolevo,54.43,31.9,46.06,86,100,10.25,RU,1604162106
Tabou,4.42,-7.35,80.69,79,62,6.78,CI,1604162106
Constitución,-35.33,-72.42,66.9,57,0,4.63,CL,1604162106
Road Town,18.42,-64.62,86.0,62,40,13.87,VG,1604162106
Atocha,-20.93,-66.23,58.96,21,38,15.88,BO,1604162106
Lewisburg,35.45,-86.79,59.0,62,1,9.08,US,1604162100
Vila Velha,-20.33,-40.29,75.2,83,75,8.05,BR,1604162106
Yuci,37.68,112.73,39.2,48,0,2.24,CN,1604162106
Kaeo,-35.1,173.78,57.0,96,47,5.44,NZ,1604162107
Kavaratti,10.57,72.64,82.94,68,74,3.27,IN,1604162107
San Cristobal,7.77,-72.22,86.0,58,40,4.7,VE,1604162107
Paka,4.64,103.44,78.8,94,36,2.24,MY,1604162107
Maināguri,26.57,88.82,73.4,78,20,2.24,IN,1604162107
Nikolskoye,59.7,30.79,41.0,80,40,4.47,RU,1604162107
Mount Gambier,-37.83,140.77,41.0,93,90,3.36,AU,1604162107
Trat,12.5,102.5,76.23,91,75,2.98,TH,1604162107
Kirakira,-10.45,161.92,79.56,79,54,4.88,SB,1604162108
Flinders,-34.58,150.86,62.01,81,56,7.0,AU,1604162108
Slave Lake,55.28,-114.77,26.6,79,40,5.82,CA,1604162108
Chokurdakh,70.63,147.92,-1.08,94,97,7.4,RU,1604162108
Ixtapa,20.7,-105.2,84.2,66,5,2.24,MX,1604162108
Te Anau,-45.42,167.72,44.67,79,63,6.87,NZ,1604162108
Torbay,47.67,-52.73,36.0,69,90,13.87,CA,1604162108
Tamiahua,21.27,-97.45,73.42,61,0,8.72,MX,1604162108
Vrangel',42.73,133.08,54.14,82,78,12.46,RU,1604162109
Estelle,29.85,-90.11,66.99,63,1,4.05,US,1604161947
Clyde River,70.47,-68.59,15.8,92,90,8.05,CA,1604162109
Mairena del Alcor,37.37,-5.75,80.01,34,0,1.12,ES,1604162109
Waipawa,-41.41,175.52,59.0,77,37,9.17,NZ,1604162109
Yerbogachën,61.28,108.01,1.87,92,0,3.53,RU,1604162109
Tuktoyaktuk,69.45,-133.04,-4.0,83,40,4.7,CA,1604162109
Pokhara,28.23,83.98,69.8,34,53,5.95,NP,1604162110
Makakilo City,21.35,-158.09,71.6,88,1,3.36,US,1604162110
Port Blair,11.67,92.75,80.4,82,28,7.38,IN,1604162110
Hwange,-18.37,26.5,83.93,22,0,4.38,ZW,1604162110
North Bend,43.41,-124.22,48.99,100,1,3.36,US,1604162110
Tuatapere,-46.13,167.68,46.0,88,2,5.01,NZ,1604162110
Amga,60.9,131.96,-10.52,89,5,1.9,RU,1604162110
Hofn,64.25,-15.21,43.59,75,100,10.98,IS,1604162110
Kroya,-7.63,109.25,64.99,83,84,2.35,ID,1604162111
São Francisco de Paula,-29.45,-50.58,73.99,53,93,5.01,BR,1604162111
Wilmington,34.23,-77.94,66.0,63,0,1.99,US,1604162111
Batagay,67.63,134.63,-11.51,88,87,3.11,RU,1604162111
Tatarsk,55.22,75.98,33.94,89,44,11.5,RU,1604162111
Omboué,-1.57,9.26,78.87,83,93,6.96,GA,1604162111
Tall Kayf,37.08,41.07,65.19,24,81,5.14,TR,1604162111
Cernavodă,44.37,28.02,46.4,93,75,11.41,RO,1604162111
Fernley,39.61,-119.25,54.0,19,0,1.01,US,1604162112
Margate,51.38,1.39,57.0,83,74,7.0,GB,1604162077
Emba,48.83,58.14,47.48,46,97,11.99,KZ,1604162112
Same,-4.07,37.73,73.15,68,43,7.52,TZ,1604162112
Olot,42.18,2.49,64.0,46,0,0.49,ES,1604162112
Hambantota,6.12,81.12,80.6,94,20,3.36,LK,1604162112
Carauari,-4.88,-66.9,71.24,98,100,4.5,BR,1604162112
Atbasar,51.8,68.33,37.42,73,32,4.47,KZ,1604162113
Bahía Solano,6.23,-77.4,82.09,74,36,6.51,CO,1604162113
Coahuayana Viejo,18.73,-103.68,77.0,78,40,13.87,MX,1604162113
Sikandrabad,28.45,77.7,69.8,46,0,4.65,IN,1604162113
Aklavik,68.22,-135.01,-4.0,83,75,3.36,CA,1604161923
Namatanai,-3.67,152.43,80.22,78,98,6.38,PG,1604162114
Itoman,26.12,127.67,73.4,78,40,11.41,JP,1604162114
Bubaque,11.28,-15.83,85.73,60,65,6.08,GW,1604162114
Taltal,-25.4,-70.48,64.65,57,45,7.99,CL,1604162114
Galveston,29.37,-94.97,69.01,73,5,3.0,US,1604162111
San Jerónimo,-11.95,-75.28,56.8,56,100,7.18,PE,1604162114
Souillac,-20.52,57.52,69.8,77,40,14.99,MU,1604162114
Ha Giang,22.83,104.98,71.69,84,91,1.34,VN,1604162114
Mandlā,22.6,80.38,65.08,51,0,2.98,IN,1604162115
Camacupa,-12.02,17.48,65.77,87,96,6.17,AO,1604162115
Atar,20.52,-13.05,100.4,18,0,9.17,MR,1604162115
Half Moon Bay,37.46,-122.43,59.0,93,90,3.38,US,1604162115
Keffi,8.85,7.87,93.2,41,0,4.7,NG,1604162115
Tessalit,20.2,1.01,89.2,12,24,8.39,ML,1604162116
Noumea,-22.28,166.46,77.0,53,0,5.82,NC,1604162116
Anadyr,64.75,177.48,6.8,84,75,8.95,RU,1604162116
Marsaxlokk,35.84,14.54,68.0,77,20,5.82,MT,1604162116
Kisesa,-3.08,34.15,76.14,43,97,6.53,TZ,1604162116
Gračac,44.3,15.85,62.01,87,0,5.82,HR,1604162116
Linjiang,41.81,126.91,44.51,85,95,4.5,CN,1604162117
Nanzhou,29.36,112.4,59.16,94,100,4.65,CN,1604162117
Lavaca,28.61,-96.63,69.8,52,1,5.82,US,1604162117
Curuçá,-0.73,-47.85,91.22,50,1,11.88,BR,1604162117
Urengoy,65.97,78.37,32.59,97,100,16.02,RU,1604162117
Coria,39.99,-6.54,66.29,61,16,2.71,ES,1604162118
Paamiut,61.99,-49.67,28.11,89,81,17.67,GL,1604162118
Varna,43.22,27.92,51.8,93,90,4.7,BG,1604162118
Khandyga,62.67,135.6,-8.66,87,2,1.74,RU,1604162118
Sibut,5.72,19.07,74.07,88,19,1.45,CF,1604162118
Ambilobe,-13.2,49.05,73.71,61,72,7.47,MG,1604162119
Huangzhou,30.45,114.8,62.6,93,100,2.24,CN,1604162119
Northam,51.03,-4.22,53.01,76,89,13.0,GB,1604162119
Kushima,31.46,131.23,62.76,84,90,6.31,JP,1604162119
Salinópolis,-0.61,-47.36,86.14,64,5,12.91,BR,1604162119
Cam Ranh,11.92,109.16,82.4,83,40,16.11,VN,1604162119
Luebo,-5.35,21.42,78.66,61,92,0.92,CD,1604162119
Wakkanai,45.41,141.67,53.49,75,100,25.79,JP,1604162119
Lodja,-3.48,23.43,74.84,82,36,2.66,CD,1604162119
Ampanihy,-24.7,44.75,75.52,54,0,12.71,MG,1604162120
Samarai,-10.62,150.67,80.42,84,70,10.02,PG,1604162120
Araripina,-7.58,-40.5,87.89,38,80,3.29,BR,1604161902
Sechura,-5.56,-80.82,73.69,60,98,8.12,PE,1604162120
Sitka,57.05,-135.33,50.0,87,90,23.04,US,1604162120
Gölköy,40.69,37.62,66.2,88,75,4.7,TR,1604162120
Pochutla,15.74,-96.47,88.0,62,20,2.84,MX,1604162120
Weligama,5.97,80.42,78.55,84,22,5.37,LK,1604162120
Barcelos,41.54,-8.62,64.0,93,90,8.05,PT,1604161895
Conkal,21.07,-89.53,81.0,83,90,4.7,MX,1604161861
Sittwe,20.15,92.9,80.33,82,100,6.29,MM,1604162121
Byron Bay,-28.65,153.62,64.4,82,4,6.93,AU,1604162121
Biltine,14.53,20.92,87.37,20,3,10.42,TD,1604162121
Aitape,-3.14,142.35,78.22,81,16,5.08,PG,1604162121
Abu Dhabi,24.47,54.37,82.4,65,0,5.82,AE,1604162121
Gwanda,-20.93,29.0,76.42,30,0,9.57,ZW,1604162121
Lipin Bor,60.26,37.98,32.22,95,1,5.95,RU,1604162122
Conde,-7.26,-34.91,86.0,66,40,13.87,BR,1604162122
Corn Island,12.17,-83.04,83.21,77,93,19.17,NI,1604162122
Dingle,11.0,122.67,75.61,84,100,6.11,PH,1604162122
Koygorodok,60.45,51.0,32.95,91,99,7.02,RU,1604162122
Touros,-5.2,-35.46,86.0,66,75,18.34,BR,1604161956
Cayenne,4.93,-52.33,91.4,55,100,11.41,GF,1604162122
Shenzhen,22.55,114.07,73.0,89,1,5.61,CN,1604162028
Khor,47.89,134.95,42.98,81,100,11.34,RU,1604162122
Beringovskiy,63.05,179.32,19.35,93,98,11.14,RU,1604162123
Kamenka,51.32,42.77,50.04,93,100,9.55,RU,1604162123
